Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 241 0.74173 0.17652 0.99771 0.0022855 3.6122 
1 242 0.72372 0.15831 0.99314 0.0068587 3.2087 
1 243 0.73229 0.16531 0.99053 0.0094685 3.2897 
1 244 0.73229 0.16531 0.99053 0.0094685 3.2897 
1 245 0.74302 0.17283 0.99119 0.0088143 3.4603 
1 246 0.7523 0.16332 0.97329 0.026707 3 
1 247 0.75788 0.1635 0.96632 0.033683 2.8137 
1 248 0.77196 0.16868 0.95999 0.040008 2.5209 
1 249 0.75013 0.16982 0.97183 0.028172 3.0191 
1 250 0.75013 0.16982 0.97183 0.028172 3.0191 
1 251 0.7563 0.18688 0.97081 0.029187 2.9182 
1 252 0.75018 0.18798 0.96733 0.032671 2.8972 
1 253 0.75018 0.18798 0.96733 0.032671 2.8972 
1 254 0.75018 0.18798 0.96733 0.032671 2.8972 
1 255 0.72644 0.19149 0.9574 0.042603 2.8006 
1 256 0.68242 0.20566 0.96045 0.039549 3.0135 
1 257 0.66341 0.21537 0.95319 0.046812 2.7927 
1 258 0.65601 0.21407 0.96577 0.034226 3.0401 
1 259 0.653 0.21949 0.9699 0.0301 3.1041 
1 260 0.653 0.21949 0.9699 0.0301 3.1041 
1 261 0.62312 0.23677 0.96953 0.030474 2.8809 
1 262 0.62788 0.22822 0.98128 0.018722 3.1324 
1 263 0.6381 0.21789 0.97931 0.020694 3.1569 
1 264 0.66656 0.23127 0.99013 0.0098746 3.5452 
1 265 0.66656 0.23127 0.99013 0.0098746 3.5452 
1 266 0.64529 0.23684 0.99221 0.0077861 3.4848 
1 267 0.65847 0.22772 0.98192 0.018081 3.3595 
1 268 0.65847 0.22772 0.98192 0.018081 3.3595 
1 269 0.65847 0.22772 0.98192 0.018081 3.3595 
1 270 0.67061 0.2341 0.98848 0.011518 3.5008 
1 271 0.62022 0.23681 0.99398 0.0060196 3.2852 
1 272 0.6334 0.24494 0.9852 0.014795 3.2563 
1 273 0.66527 0.24906 0.97848 0.021525 3.1301 
1 274 0.65711 0.25374 0.99098 0.0090249 3.3968 
1 275 0.65711 0.25374 0.99098 0.0090249 3.3968 
1 276 0.6517 0.24841 0.99766 0.0023396 3.5869 
1 277 0.66238 0.25956 0.99018 0.009824 3.3087 
1 278 0.66238 0.25956 0.99018 0.009824 3.3087 
1 279 0.64902 0.25496 0.98934 0.010665 3.3428 
1 280 0.66703 0.25962 0.97933 0.020667 3.0134 
1 281 0.67256 0.25357 0.96606 0.033944 2.7257 
1 282 0.67256 0.25357 0.96606 0.033944 2.7257 
1 283 0.67256 0.25357 0.96606 0.033944 2.7257 
1 284 0.68496 0.25769 0.96852 0.031478 2.6619 
