Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 212 0.70388 0.36545 0.97643 0.023569 -6.4202 
1 213 0.70388 0.36545 0.97643 0.023569 -6.4202 
1 214 0.68886 0.37117 0.97094 0.029059 -6.3634 
1 215 0.66303 0.38343 0.95053 0.04947 -6.3261 
1 216 0.6184 0.39452 0.96081 0.039189 -6.2765 
1 217 0.66134 0.38002 0.96304 0.036957 -6.3084 
1 218 0.66012 0.37043 0.94922 0.050777 -6.2591 
1 219 0.68156 0.38262 0.95391 0.046091 -6.3804 
1 220 0.68156 0.38262 0.95391 0.046091 -6.3804 
1 221 0.67438 0.39028 0.95711 0.042885 -6.3887 
1 222 0.6872 0.39757 0.95819 0.041809 -6.4804 
1 223 0.69069 0.3976 0.9694 0.0306 -6.4748 
1 224 0.66087 0.37344 0.9691 0.030902 -6.3158 
1 225 0.68259 0.376 0.95041 0.049589 -6.3548 
1 226 0.69128 0.35922 0.95677 0.043234 -6.3063 
1 227 0.68801 0.35012 0.94613 0.053865 -6.2471 
1 228 0.73226 0.32681 0.94024 0.059759 -6.3505 
1 229 0.72845 0.32511 0.94254 0.057457 -6.3219 
1 230 0.73788 0.32821 0.93906 0.060943 -6.3901 
1 231 0.7677 0.34029 0.95511 0.04489 -6.6144 
1 232 0.78558 0.33809 0.94789 0.052108 -6.7609 
1 233 0.78558 0.33809 0.94789 0.052108 -6.7609 
1 234 0.78874 0.3275 0.94387 0.056128 -6.7383 
1 235 0.7882 0.33174 0.95772 0.042276 -6.7192 
1 236 0.78144 0.33464 0.95509 0.044911 -6.6872 
1 237 0.76341 0.31912 0.95806 0.041942 -6.4995 
1 238 0.7749 0.31411 0.95641 0.043592 -6.5532 
1 239 0.77676 0.28652 0.95399 0.046006 -6.5077 
1 240 0.76574 0.29862 0.96536 0.034639 -6.5198 
1 241 0.76574 0.29862 0.96536 0.034639 -6.5198 
1 242 0.76769 0.3104 0.97393 0.026071 -6.588 
1 243 0.76769 0.3104 0.97393 0.026071 -6.588 
1 244 0.7729 0.30904 0.98468 0.015322 -6.7257 
1 245 0.77319 0.31031 0.97232 0.02768 -6.6005 
1 246 0.80678 0.31715 0.97413 0.025875 -6.8233 
1 247 0.83246 0.32485 0.98801 0.01199 -7.0754 
1 248 0.86572 0.33888 0.97928 0.020717 -7.4623 
1 249 0.8737 0.31184 0.97573 0.024273 -7.4637 
1 250 0.86776 0.30191 0.97209 0.027905 -7.3722 
1 251 0.85243 0.30561 0.98224 0.017759 -7.2207 
1 252 0.85738 0.31199 0.97855 0.021445 -7.2772 
1 253 0.84453 0.31324 0.96089 0.039108 -7.1619 
1 254 0.86049 0.30296 0.94563 0.054374 -7.3546 
1 255 0.833 0.29235 0.96016 0.03984 -6.9776 
1 256 0.833 0.29235 0.96016 0.03984 -6.9776 
1 257 0.81014 0.31102 0.97284 0.027156 -6.8352 
1 258 0.80216 0.28893 0.973 0.026996 -6.7829 
1 259 0.78347 0.29164 0.96682 0.033182 -6.6231 
1 260 0.78326 0.29047 0.9676 0.032397 -6.6297 
1 261 0.78389 0.30104 0.97013 0.029875 -6.643 
1 262 0.78809 0.30122 0.97527 0.02473 -6.7036 
1 263 0.78087 0.31252 0.9723 0.027704 -6.6398 
1 264 0.76944 0.3091 0.96435 0.035651 -6.5339 
1 265 0.76198 0.31968 0.96424 0.03576 -6.5095 
1 266 0.78156 0.33949 0.96547 0.034528 -6.6983 
1 267 0.76244 0.35175 0.95953 0.040472 -6.6245 
1 268 0.763 0.34451 0.94799 0.052011 -6.6226 
1 269 0.77566 0.35148 0.94736 0.052645 -6.7679 
1 270 0.77504 0.36172 0.95039 0.049608 -6.8202 
1 271 0.75441 0.37356 0.94482 0.055184 -6.7681 
1 272 0.7802 0.39244 0.94764 0.052357 -7.1187 
1 273 0.76777 0.41147 0.9534 0.046599 -7.1361 
1 274 0.76231 0.41872 0.95273 0.047266 -7.161 
1 275 0.79748 0.42834 0.95129 0.048712 -7.5769 
1 276 0.79375 0.4245 0.93232 0.067679 -7.6749 
1 277 0.77399 0.42377 0.91899 0.081006 -7.6137 
1 278 0.75314 0.41313 0.93974 0.060265 -7.1404 
1 279 0.78837 0.42352 0.94436 0.055643 -7.5032 
1 280 0.77444 0.42581 0.95086 0.049138 -7.3427 
1 281 0.78195 0.4265 0.94755 0.052452 -7.4443 
1 282 0.77674 0.41902 0.93068 0.069319 -7.4771 
1 283 0.77545 0.41718 0.93187 0.068132 -7.4361 
1 284 0.7603 0.41667 0.93341 0.06659 -7.2845 
1 285 0.75586 0.41154 0.92439 0.075612 -7.2825 
1 286 0.74238 0.41026 0.92696 0.073041 -7.1335 
1 287 0.72341 0.41995 0.93922 0.06078 -6.9799 
1 288 0.71887 0.42469 0.93535 0.064651 -7.0246 
