mu_1 sd_1 w_1 mu_2 sd_2 w_2 w_NS
0 314 0.53303 0.45289 0.892507 0.107493 -6.88549
0 315 0.534832 0.459064 0.899041 0.100959 -6.86795
0 316 0.534832 0.459064 0.899041 0.100959 -6.86795
0 317 0.539069 0.466443 0.903526 0.0964741 -6.89132
0 318 0.554108 0.435227 0.899627 0.100373 -6.70682
0 319 0.530388 0.433557 0.888692 0.111308 -6.76645
0 320 0.513509 0.437126 0.897307 0.102693 -6.67602
0 321 0.528664 0.430335 0.896756 0.103244 -6.65668
0 322 0.505334 0.429828 0.888665 0.111335 -6.71507
0 323 0.509108 0.408231 0.898875 0.101125 -6.49493
0 324 0.531305 0.3919 0.914963 0.085037 -6.31539
0 325 0.541111 0.381571 0.907768 0.0922315 -6.30777
0 326 0.541111 0.381571 0.907768 0.0922315 -6.30777
0 327 0.556137 0.38909 0.935802 0.0641975 -6.2397
0 328 0.558488 0.379483 0.933144 0.0668565 -6.21819
0 329 0.558488 0.379483 0.933144 0.0668565 -6.21819
0 330 0.552767 0.359155 0.935642 0.0643579 -6.23502
0 331 0.552767 0.359155 0.935642 0.0643579 -6.23502
0 332 0.567308 0.370592 0.934053 0.0659469 -6.19909
0 333 0.587697 0.36819 0.949703 0.0502975 -6.21798
0 334 0.58012 0.366384 0.946222 0.0537776 -6.21454
0 335 0.588014 0.359902 0.936521 0.0634793 -6.16974
0 336 0.582252 0.358731 0.931657 0.0683429 -6.16701
0 337 0.573776 0.346536 0.919861 0.0801393 -6.16287
0 338 0.563212 0.332567 0.928154 0.0718462 -6.23006
0 339 0.562437 0.344703 0.934358 0.0656425 -6.22756
0 340 0.560996 0.34403 0.944277 0.0557229 -6.3107
0 341 0.538668 0.344425 0.937714 0.0622855 -6.35071
0 342 0.538674 0.352405 0.952933 0.0470666 -6.47536
0 343 0.520147 0.364434 0.938138 0.0618625 -6.34618
0 344 0.54109 0.360074 0.942051 0.057949 -6.30632
0 345 0.539161 0.355185 0.936542 0.0634581 -6.29382
0 346 0.486786 0.368238 0.941403 0.0585972 -6.50968
0 347 0.507181 0.388929 0.927034 0.0729659 -6.31409
0 348 0.502319 0.371935 0.919668 0.0803323 -6.33364
